רשות מקומית,ישוב,מספר זיהוי,סוג מתקן,שם המתקן,שכונה-רובע,רחוב,מספר בית,ציר X,ציר Y,מספר המבנים,בעלי המתקן,גוף מפעיל המתקן,טלפון איש קשר,דואל איש קשר,מספר מושבים,פנוי לפעילות,גידור קיים,תאורה קיימת,נגישות לנכים,חניה לרכבים,מצב המתקן,מתקן תקני לתחרויות,שימוש לתחרויות רשמיות,שנת הקמה,משרת בית ספר
אבו סנאן,,032M1106470,מגרש שחבק דשא סינטטי,מגרש שחבק,כרם אלרוגמה,,,216250,763130,,אבו סנאן,מועצה מקומית אבוסנאן,049568865,nabihshekh@yahoo.com,50,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2019,"חט""ב"
אבו סנאן,,032B2104962,מגרש ספורט משולב – 43X32 מ',מגרש משולב,שכונת החיילים,,,216960,762890,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,150,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002,יסודי ג'
אבן יהודה,,021G3308679,אולם ספורט בינוני – 32x19 מ',אולם ספורט ראשונים,,,,190312,687459,,אבן יהודה,מועצה מקומית אבן יהודה,,,,מבוקר ועד לילה,לא,לא,לא,לא,לא פעיל,,,2020,כן
אבן יהודה,,021F2106974,מגרש כדורגל - לא תקני,מתנ''ס,,שבזי,1,189230,687430,7,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,100,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
אבן יהודה,,021B2106977,מגרש ספורט משולב – 43X32 מ',מתנ''ס,,שבזי,1,189230,687430,7,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008,
אבן יהודה,,021G3100942,אולם ספורט בינוני – 32x19 מ',אולם ספורט חדש,,השרון,57,189010,685910,1,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,500,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2009,
אבן יהודה,,021G1100943,אולם ספורט קטן – 20x10 מ',אולם ספורט חדש,,השרון,57,189010,685910,1,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2009,
אבן יהודה,,021S1106926,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מתחם ספורט חדש,,השרון,57,189010,685910,1,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,50,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2009,
אבן יהודה,,021T1106928,מגרש טניס,מתחם ספורט חדש,,השרון,57,189010,685910,1,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,50,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009,
אבן יהודה,,021B2106929,מגרש ספורט משולב – 43X32 מ',מתחם ספורט חדש,,השרון,57,189010,685910,1,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,100,פתוח ללא הגבלה,כן,כן,כן,כן,לא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009,
אבן יהודה,,021P1102275,בריכת שחיה - 25X12.5 מ',בריכת שחיה,,השומרון,45,189210,685650,1,אבן יהודה,מועצת אבן יהודה,09-8999758,even.yehuda@gmail.com,100,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970,
אבן יהודה,,021G3101950,אולם ספורט בינוני – 32x19 מ',בית ספר אמריקאי,,השומרון,65,188750,685700,5,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,100,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006,בית ספר אמריקאי
אבן יהודה,,021P2101949,בריכת שחיה - 20X50 מ',בית ספר אמריקאי,,השומרון,65,188750,685700,5,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,50,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006,בית ספר אמריקאי
אבן יהודה,,021T1101938,מגרש טניס,בית ספר אמריקאי,,השומרון,65,188750,685700,5,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006,בית ספר אמריקאי
אבן יהודה,,021F1101934,מגרש כדורגל – 45X90 מ',בית ספר אמריקאי,,השומרון,65,188750,685700,5,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,100,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006,בית ספר אמריקאי
אבן יהודה,,021B2101946,מגרש ספורט משולב – 43X32 מ',בית ספר אמריקאי,,השומרון,65,188750,685700,5,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006,בית ספר אמריקאי
אבן יהודה,,021G3100273,אולם ספורט בינוני – 32x19 מ',אולם בכר,,השומרון,43,189410,685570,7,אבן יהודה,מועצת אבן יהודה,09-8915000,even.yehuda@gmail.com,150,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1988,בית ספר בכר
אבן יהודה,,021G1100777,אולם ספורט קטן – 20x10 מ',אולם ספורט,כפר הנוער הדסים,,,189620,688220,20,,ויצו הדסים,09-8999252,hadassim@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1944,תיכון הדסים
אבן יהודה,,021P2102276,בריכת שחיה - 20X50 מ',בריכת שחיה,כפר הנוער הדסים,,,189680,688130,20,,ויצו הדסים,09-8999252,hadassim@gmail.com,50,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1944,תיכון הדסים
אום אל-פחם,,154B3208636,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר עין אבראהים,,,,213984,716073,,אום אל-פחם,עיריית אום אל-פחם,,,100,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2001,
אום אל-פחם,,154B3108637,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלבאטן,,,,214446,715016,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2003,
אום אל-פחם,,154B3108638,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון מקיף עליון,,,,214543,715153,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,1985,
אום אל-פחם,,154B3108639,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון מקיף תחתון,,,,214519,715184,,אום אל-פחם,עיריית אום אל-פחם,,,150,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1992,
אום אל-פחם,,154B3108640,מגרש ספורט במידות אחרות – לא תקני,מגרש עראק אלשבאב,,,,213684,714619,,אום אל-פחם,עיריית אום אל-פחם,,,150,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2003,
אום אל-פחם,,154B3108641,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלאהליה,,,,214691,715330,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2003,
אום אל-פחם,,154B3108643,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אבן ח'לדון,,,,215075,713829,,אום אל-פחם,עיריית אום אל-פחם,,,200,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1995,
אום אל-פחם,,154B3108644,מגרש ספורט במידות אחרות – לא תקני,מגרש פארק סויסה,,,,217334,715465,,אום אל-פחם,עיריית אום אל-פחם,,,250,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2008,
אום אל-פחם,,154B3108645,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר קחאוש,,,,214646,715770,,אום אל-פחם,עיריית אום אל-פחם,,,120,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2004,
אום אל-פחם,,154B3108646,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי סית ח'יזראן,,,,215024,713353,,אום אל-פחם,עיריית אום אל-פחם,,,180,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2014,
אום אל-פחם,,154B3108647,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלח'יאם,,,,214271,713669,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2001,
אום אל-פחם,,154B3108648,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אפאק,,,,215342,715422,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2008,
אום אל-פחם,,154B3108649,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלע'זאלי,,,,215251,714743,,אום אל-פחם,עיריית אום אל-פחם,,,120,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2002,
אום אל-פחם,,154B3108650,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלזהראא,,,,214407,713273,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,1987,
אום אל-פחם,,154B3108651,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אבן סינא,,,,214097,713890,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1990,
אום אל-פחם,,154B3108652,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלפאראבי,,,,213484,714058,,אום אל-פחם,עיריית אום אל-פחם,,,150,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2000,
אום אל-פחם,,154B3108653,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר ח'דיג'ה,,,,213570,714036,,אום אל-פחם,עיריית אום אל-פחם,,,120,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2003,
אום אל-פחם,,154B3108654,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלאקואס,,,,215218,712629,,אום אל-פחם,עיריית אום אל-פחם,,,120,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2011,
אום אל-פחם,,154B3108655,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון אלחכמה,,,,213150,713008,,אום אל-פחם,עיריית אום אל-פחם,,,200,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2012,
אום אל-פחם,,154B3108656,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון אבן אלהייתם,,,,215263,713294,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2001,
אום אל-פחם,,154B3108657,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי ראס אלהיש,,,,214055,714170,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2003,
אום אל-פחם,,154B3108658,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי אלעראיש,,,,212704,713865,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2000,
אום אל-פחם,,154B3108659,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי אלמועלקה,,,,211787,712294,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2000,
אום אל-פחם,,154B3108660,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי עקאדה,,,,216109,716368,,אום אל-פחם,עיריית אום אל-פחם,,,150,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2002,
אום אל-פחם,,154G2300164,אולם ספורט קטן – 15x24 מ',אולם אלראזי,שיכון מערבי,,,213558,713980,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,200,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2003,"אלראזי, חדיג'ה"
אום אל-פחם,,154G3300844,אולם ספורט בינוני – 32x19 מ',אולם ספורט - ואדי אלנוסור,ואדי אלנוסור,,,214810,712863,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,360,בתיאום בלבד,כן,כן,כן,לא,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007,ואדי אלנוסור
אום אל-פחם,,154G3300845,אולם ספורט בינוני – 32x19 מ',אולם ספורט - מעל מחלקת הנדסה,אלבאטן,,,214340,715087,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,360,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1999,תיכון מקיף
אום אל-פחם,,154G1101013,אולם ספורט קטן – 20x10 מ',"אולם ספורט מתנ""ס",אלג'זלאת,,,214674,714017,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009,
אום אל-פחם,,154F3301308,אצטדיון כדורגל – 105X70 מ',איצטדיון השלום אום אל פחם,אלדהר,אלואחה,,214884,715446,1,אום אל-פחם,עיריית אום אל פחם - החברה הכלכלית,046310483,sport.uef@gmail.com,"6,000",בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1995,
אום אל-פחם,,154P1107795,בריכת שחיה - 25X12.5 מ',"קאנטרי קלאב ""אלואחה""",אלדהר,,,214987,715509,1,,יזם פרטי,04-6113344,info@alwaha.co.il,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2003,
אום אל-פחם,,154B2105591,מגרש ספורט משולב – 43X32 מ',מגרש עומר בן אלחטאב,אלחדור,,,214485,713226,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,250,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1998,"עומר בן אלחטאב, אלזהראא"
אום אל-פחם,,154F2103530,מגרש כדורגל - לא תקני,מגרש אלח'נסאא,אלמלסאא,,,214895,713122,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,100,בתיאום בלבד,כן,לא,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001,אלח'נסאא
אום אל-פחם,,154F2103529,מגרש כדורגל - לא תקני,מגרש אלבאטן,אלבאטן,,,214372,714233,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,400,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1966,
אום אל-פחם,,154F3303522,אצטדיון כדורגל – 105X70 מ',מגרש אימונים סינטטי ליד האיצטדיון,אלדהר,,,214778,715404,1,אום אל-פחם,עיריית אום אל פחם,046310483,amtld@hotmail.com,400,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2020,
אום אל-פחם,,154B2104936,מגרש ספורט משולב – 43X32 מ',מגרש מקורה אלמותנבי,אלח'לאיל,,,215458,713769,1,אום אל-פחם,עיריית אום אל פחם,046310483,amtld@hotmail.com,100,פתוח ללא הגבלה,כן,כן,כן,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1996,אלמותנבי
אום אל-פחם,,154B2103550,מגרש ספורט משולב – 43X32 מ',מגרש אלראזי,שיכון מערבי,,,213527,713942,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,120,פתוח ללא הגבלה,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994,"אלראזי, חדיג'ה"
אום אל-פחם,,154B3104928,מגרש ספורט במידות אחרות – לא תקני,מגרש מקורה עין איברהים,עין איברהים,,,214236,715769,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,0,מבוקר ועד לילה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001,
אום אל-פחם,,154B2103801,מגרש ספורט משולב – 43X32 מ',מגרש ואדי אלנוסור,ואדי אלנוסור,,,214804,712827,1,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,150,פתוח ללא הגבלה,כן,כן,כן,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994,ואדי אלנוסור
אום אל-פחם,,154A1107796,מכון לכושר גופני,"קאנטרי קלאב ""אלואחה""",אלדהר,,,214987,715509,1,,יזם פרטי,04-6113344,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2004,
אום אל-פחם,,154B3103491,מגרש ספורט במידות אחרות – לא תקני,מגרש אחווה,,,,213157,713443,,אום אל-פחם,עיריית אום אל-פחם,046310483,sport.uef@gmail.com,150,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,1988,אחווה
אום אל-פחם,,154B3103546,מגרש ספורט במידות אחרות – לא תקני,מגרש אלתסאמוח,,,,213009,713459,,אום אל-פחם,עיריית אום אל-פחם,046310483,sport.uef@gmail.com,150,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2005,
אופקים,,004G3408474,אולם ספורט בינוני – 32x19 מ',אולם ספורט,הרצל,Israel,,162513,580750,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,"30,000",מבוקר ועד לילה,לא,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגת על,2019,כן
אופקים,,004F5408475,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מגרש אתלטיקה,,Israel,,163929,580142,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,"30,000",מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2019,כן
אופקים,,004M1308476,מגרש שחבק דשא סינטטי,מגרש שחבק,,Israel,,163276,580480,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,"30,000",בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",לא רלוונטי,2016,כן
אופקים,,004R1105697,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש קט רגל 2000מ',יעקוב מסיקה 6,חורי,,163000,580800,1,אופקים,"עיריית אופקים-מתנ""ס",050-6770813,elaetah@gmail.com,,פתוח ללא הגבלה,לא,לא,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000,אשלים
