,City,Id,Type,X,Y,Fencing,Lighting,Accessible for disabled,Parking,Status,Competitions,Year of building
25,אבן יהודה,021P2101949,Swimming pool,188750.0,685700.0,Yes,Yes,Yes,Yes,Normal and active,National,2006
26,אבן יהודה,021T1101938,Tennis court,188750.0,685700.0,Yes,Yes,Yes,Yes,Normal and active,National,2006
27,אבן יהודה,021F1101934,Football field,188750.0,685700.0,Yes,Yes,Yes,Yes,Normal and active,National,2006
28,אבן יהודה,021B2101946,Combined sports pitch,188750.0,685700.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2006
29,אבן יהודה,021G3100273,Fitness,189410.0,685570.0,Yes,Yes,Yes,Yes,Normal and active,National,1988
30,אבן יהודה,021G1100777,Fitness,189620.0,688220.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1944
31,אבן יהודה,021P2102276,Swimming pool,189680.0,688130.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1944
32,אום אל-פחם,154B3208636,Other,213984.0,716073.0,No,No,No,No,Normal and active,Not used for official competitions,2001
33,אום אל-פחם,154B3108637,Other,214446.0,715016.0,No,No,No,No,Normal and active,Not used for official competitions,2003
34,אום אל-פחם,154B3108638,Other,214543.0,715153.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,1985
35,אום אל-פחם,154B3108639,Other,214519.0,715184.0,No,No,No,No,Normal and active,Not used for official competitions,1992
36,אום אל-פחם,154B3108640,Other,213684.0,714619.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2003
37,אום אל-פחם,154B3108641,Other,214691.0,715330.0,No,No,No,No,Normal and active,Not used for official competitions,2003
38,אום אל-פחם,154B3108643,Other,215075.0,713829.0,No,No,No,No,Normal and active,Not used for official competitions,1995
39,אום אל-פחם,154B3108644,Other,217334.0,715465.0,No,No,No,No,Normal and active,Not used for official competitions,2008
40,אום אל-פחם,154B3108645,Other,214646.0,715770.0,No,No,No,No,Normal and active,Not used for official competitions,2004
41,אום אל-פחם,154B3108646,Other,215024.0,713353.0,No,No,No,No,Normal and active,Not used for official competitions,2014
42,אום אל-פחם,154B3108647,Other,214271.0,713669.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2001
43,אום אל-פחם,154B3108648,Other,215342.0,715422.0,No,No,No,No,Normal and active,Not used for official competitions,2008
44,אום אל-פחם,154B3108649,Other,215251.0,714743.0,No,No,No,No,Normal and active,Not used for official competitions,2002
45,אום אל-פחם,154B3108650,Other,214407.0,713273.0,No,No,No,No,Normal and active,Not used for official competitions,1987
46,אום אל-פחם,154B3108651,Other,214097.0,713890.0,No,No,No,No,Normal and active,Not used for official competitions,1990
47,אום אל-פחם,154B3108652,Other,213484.0,714058.0,No,No,No,No,Normal and active,Not used for official competitions,2000
48,אום אל-פחם,154B3108653,Other,213570.0,714036.0,No,No,No,No,Normal and active,Not used for official competitions,2003
49,אום אל-פחם,154B3108654,Other,215218.0,712629.0,No,No,No,No,Normal and active,Not used for official competitions,2011
50,אום אל-פחם,154B3108655,Other,213150.0,713008.0,No,No,No,No,Normal and active,Not used for official competitions,2012
51,אום אל-פחם,154B3108656,Other,215263.0,713294.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2001
52,אום אל-פחם,154B3108657,Other,214055.0,714170.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2003
53,אום אל-פחם,154B3108658,Other,212704.0,713865.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2000
54,אום אל-פחם,154B3108659,Other,211787.0,712294.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2000
55,אום אל-פחם,154B3108660,Other,216109.0,716368.0,No,No,No,No,Active and in need of renovation,Not used for official competitions,2002
56,אום אל-פחם,154G2300164,Fitness,213558.0,713980.0,Yes,Yes,Yes,Yes,Normal and active,National,2003
57,אום אל-פחם,154G3300844,Fitness,214810.0,712863.0,Yes,Yes,Yes,No,Normal and active,Not used for official competitions,2007
58,אום אל-פחם,154G3300845,Fitness,214340.0,715087.0,Yes,Yes,Yes,Yes,Normal and active,National,1999
59,אום אל-פחם,154G1101013,Fitness,214674.0,714017.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2009
60,אום אל-פחם,154F3301308,Football field,214884.0,715446.0,Yes,Yes,Yes,Yes,Normal and active,National,1995
61,אום אל-פחם,154P1107795,Swimming pool,214987.0,715509.0,Yes,Yes,Yes,Yes,Normal and active,National,2003
62,אום אל-פחם,154B2105591,Combined sports pitch,214485.0,713226.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1998
63,אום אל-פחם,154F2103530,Football field,214895.0,713122.0,Yes,No,No,Yes,Active and in need of renovation,Not used for official competitions,2001
64,אום אל-פחם,154F2103529,Football field,214372.0,714233.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1966
65,אום אל-פחם,154F3303522,Football field,214778.0,715404.0,Yes,Yes,Yes,Yes,Inactive,Local and regional,2020
66,אום אל-פחם,154B2104936,Combined sports pitch,215458.0,713769.0,Yes,Yes,Yes,No,Normal and active,Not used for official competitions,1996
67,אום אל-פחם,154B2103550,Combined sports pitch,213527.0,713942.0,Yes,Yes,No,Yes,Active and in need of renovation,Not used for official competitions,1994
68,אום אל-פחם,154B3104928,Other,214236.0,715769.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2001
69,אום אל-פחם,154B2103801,Combined sports pitch,214804.0,712827.0,Yes,Yes,Yes,No,Active and in need of renovation,Not used for official competitions,1994
70,אום אל-פחם,154A1107796,Fitness,214987.0,715509.0,Yes,Yes,Yes,Yes,Normal and active,National,2004
71,אום אל-פחם,154B3103491,Other,213157.0,713443.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,1988
72,אום אל-פחם,154B3103546,Other,213009.0,713459.0,Yes,Yes,No,Yes,Normal and active,Irrelevant,2005
73,אופקים,004G3408474,Fitness,162513.0,580750.0,No,Yes,Yes,Yes,Normal and active,Super League,2019
74,אופקים,004F5408475,Stadium track,163929.0,580142.0,Yes,Yes,Yes,Yes,Normal and active,National,2019
75,אופקים,004M1308476,Synthetic grass court,163276.0,580480.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2016
76,אופקים,004R1105697,Other,163000.0,580800.0,No,No,No,Yes,Abnormal and inactive,Not used for official competitions,2000
77,אופקים,004F4101299,Stadium track,164700.0,579400.0,Yes,Yes,Yes,Yes,Normal and active,National,1980
78,אופקים,004B1104674,Basketball court,163200.0,579600.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2008
79,אופקים,004B1104670,Basketball court,163200.0,579600.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2008
80,אופקים,004B1104468,Basketball court,163200.0,579900.0,Yes,No,No,Yes,Abnormal and inactive,Not used for official competitions,1996
81,אופקים,004G4100761,Fitness,163700.0,579500.0,Yes,No,No,Yes,Abnormal and inactive,Not used for official competitions,1972
82,אופקים,004G4100906,Fitness,163500.0,581100.0,Yes,Yes,No,Yes,Abnormal and inactive,Not used for official competitions,1985
83,אופקים,004G4100907,Fitness,164100.0,579600.0,Yes,Yes,No,Yes,Abnormal and inactive,Not used for official competitions,1975
84,אופקים,004G4100908,Fitness,164100.0,579600.0,Yes,Yes,No,Yes,Active and in need of renovation,Not used for official competitions,1975
85,אופקים,004G4100784,Fitness,163700.0,580350.0,Yes,Yes,Yes,Yes,Normal and active,National,2000
86,אופקים,004R1107636,Other,164200.0,579800.0,Yes,No,No,Yes,Active and in need of renovation,Not used for official competitions,1992
87,אופקים,004R1104910,Other,163700.0,579500.0,Yes,No,No,Yes,Abnormal and inactive,Not used for official competitions,1997
88,אופקים,004P1102108,Swimming pool,163200.0,580800.0,Yes,Yes,No,Yes,Abnormal and inactive,Not used for official competitions,1965
89,אופקים,004T1106613,Tennis court,163600.0,579500.0,Yes,Yes,Yes,Yes,Normal and active,National,0
90,אופקים,004B1104351,Basketball court,163500.0,580500.0,No,No,No,Yes,Normal and active,Not used for official competitions,2002
91,אופקים,004B1104353,Basketball court,164400.0,579000.0,Yes,Yes,No,Yes,Normal and active,National,2007
92,אופקים,004B1104352,Basketball court,164500.0,579900.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2007
93,אופקים,004B1104354,Basketball court,163800.0,579500.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2007
94,אופקים,004B1104355,Basketball court,163700.0,580100.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2007
95,אופקים,004M1107813,Mini pitch,163300.0,581000.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2003
96,אופקים,004A1102991,Fitness,163700.0,580350.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,1985
97,אופקים,004A2106345,Fitness,164424.0,578987.0,No,No,Yes,Yes,Normal and active,Irrelevant,2017
98,אופקים,004A2103340,Fitness,164577.0,579267.0,No,No,Yes,Yes,Normal and active,Irrelevant,2017
99,אור יהודה,138K1108532,Synthetic grass court,187347.0,659888.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2019
100,אור יהודה,138G2101172,Fitness,186634.0,660017.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
101,אור יהודה,138G4102754,Fitness,186502.0,659351.0,Yes,Yes,Yes,Yes,Normal and active,National,0
102,אור יהודה,138B2107255,Combined sports pitch,188070.0,659060.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
103,אור יהודה,138A2107126,Fitness,188070.0,659060.0,No,Yes,No,Yes,Normal and active,Not used for official competitions,0
104,אור יהודה,138S1104784,Sand court,186910.0,660050.0,No,No,Yes,Yes,Normal and active,Not used for official competitions,0
105,אור יהודה,138F2105669,Football field,186830.0,660060.0,Yes,No,No,Yes,Normal and active,Not used for official competitions,0
106,אור יהודה,138A2107127,Fitness,187050.0,660030.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
107,אור יהודה,138F2105483,Football field,186009.0,659234.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
108,אור יהודה,138T1102762,Tennis court,186624.0,659459.0,Yes,Yes,Yes,Yes,Normal and active,National,0
109,אור יהודה,138B1101555,Basketball court,186624.0,659465.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
110,אור יהודה,138B1102745,Basketball court,186509.0,659351.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
111,אור יהודה,138B2101605,Combined sports pitch,186675.0,659292.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
112,אור יהודה,138A1102768,Fitness,186502.0,659351.0,Yes,Yes,No,Yes,Normal and active,National,0
113,אור יהודה,138P1102130,Swimming pool,186455.0,659333.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
114,אור יהודה,138B1101601,Basketball court,186370.0,659365.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
115,אור יהודה,138G1107711,Fitness,187113.0,659982.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
116,אור יהודה,138B1101666,Basketball court,186903.0,659221.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
117,אור יהודה,138B2101667,Combined sports pitch,187112.0,659979.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
118,אור יהודה,138F3104304,Football field,187462.0,659902.0,Yes,Yes,Yes,Yes,Normal and active,National,0
119,אור יהודה,138G3106651,Fitness,187291.0,659710.0,Yes,Yes,Yes,Yes,Normal and active,National,0
120,אור יהודה,138A1106652,Fitness,187649.0,659783.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,0
121,אור יהודה,138G2107380,Fitness,185404.0,659710.0,Yes,Yes,Yes,Yes,Normal and active,National,0
122,אור עקיבא,094B1108880,Basketball court,192394.0,713090.0,No,No,No,No,Normal and active,Irrelevant,2019
123,אור עקיבא,094K1108881,Synthetic grass court,192685.0,711950.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2010
124,אור עקיבא,094B1108882,Basketball court,192685.0,711950.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2010
125,אור עקיבא,094A2108883,Fitness,192281.0,713745.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2020
126,אור עקיבא,094B1108374,Basketball court,192503.0,713746.0,Yes,Yes,Yes,No,Normal and active,Irrelevant,2000
127,אור עקיבא,094K1108375,Synthetic grass court,192470.0,713170.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2000
128,אור עקיבא,094K1108377,Synthetic grass court,193400.0,712050.0,Yes,Yes,No,Yes,Normal and active,Irrelevant,2000
129,אור עקיבא,094B1108378,Basketball court,192810.0,713050.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2017
130,אור עקיבא,094B1108379,Basketball court,192450.0,713746.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2017
131,אור עקיבא,094K1108380,Synthetic grass court,192503.0,713170.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2000
132,אור עקיבא,094B2108381,Combined sports pitch,192810.0,713746.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2000
133,אור עקיבא,094F2108382,Football field,192290.0,712630.0,Yes,No,No,Yes,Normal and active,Irrelevant,2000
134,אור עקיבא,094B1108383,Basketball court,192450.0,712510.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2000
135,אור עקיבא,094F2108384,Football field,193400.0,712630.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2000
136,אור עקיבא,094B1108385,Basketball court,192290.0,712050.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2000
137,אור עקיבא,094M1108386,Mini pitch,192450.0,712510.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2000
138,אור עקיבא,094F2108387,Football field,193400.0,712630.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2017
139,אור עקיבא,094B1108388,Basketball court,192810.0,713050.0,Yes,No,No,No,Normal and active,Not used for official competitions,2017
140,אור עקיבא,094A2108437,Fitness,192492.0,711618.0,No,No,No,No,Normal and active,Not used for official competitions,2014
141,אור עקיבא,094A2108438,Fitness,193260.0,711803.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2017
142,אור עקיבא,094A2108439,Fitness,192597.0,712393.0,No,No,No,No,Normal and active,Irrelevant,2016
143,אור עקיבא,094A2108440,Fitness,192293.0,712388.0,No,No,No,No,Normal and active,Not used for official competitions,2017
144,אור עקיבא,094A2108441,Fitness,192317.0,712128.0,No,No,Yes,Yes,Normal and active,Irrelevant,2016
145,אור עקיבא,094A1108442,Fitness,192258.0,713062.0,No,No,Yes,Yes,Normal and active,Irrelevant,2017
146,אור עקיבא,094A1108443,Fitness,192946.0,713282.0,No,No,No,No,Normal and active,Irrelevant,2013
147,אור עקיבא,094A1108444,Fitness,192576.0,713382.0,Yes,No,No,Yes,Normal and active,Irrelevant,2017
148,אור עקיבא,094A1108445,Fitness,192295.0,713440.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2016
149,אור עקיבא,094A2108446,Fitness,192583.0,713895.0,No,No,No,No,Normal and active,Not used for official competitions,2016
150,אור עקיבא,094A2108447,Fitness,192471.0,714157.0,No,No,No,No,Normal and active,Not used for official competitions,2015
151,אור עקיבא,094A2108448,Fitness,192733.0,711826.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2017
152,אור עקיבא,094A2108449,Fitness,192974.0,711943.0,No,No,No,No,Normal and active,Not used for official competitions,2016
153,אור עקיבא,094A2108450,Fitness,193264.0,712073.0,No,No,No,No,Normal and active,Not used for official competitions,2017
154,אור עקיבא,094A2108451,Fitness,192535.0,712104.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2017
155,אור עקיבא,094A2108452,Fitness,192315.0,713749.0,Yes,No,Yes,Yes,Normal and active,Irrelevant,2018
156,אור עקיבא,094A2108453,Fitness,192798.0,712754.0,No,No,No,No,Normal and active,Not used for official competitions,2018
157,אור עקיבא,094A2108454,Fitness,192140.0,713809.0,No,Yes,Yes,Yes,Normal and active,Irrelevant,2019
158,אור עקיבא,094M1108455,Mini pitch,192774.0,713692.0,No,No,No,No,Active and in need of renovation,Irrelevant,2010
159,אור עקיבא,094G4101084,Fitness,192260.0,713110.0,Yes,Yes,Yes,Yes,Normal and active,National,1991
160,אור עקיבא,094G1107547,Fitness,192420.0,713110.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1974
161,אור עקיבא,094G4100853,Fitness,192880.0,711800.0,Yes,Yes,Yes,Yes,Normal and active,National,1997
162,אור עקיבא,094G2107552,Fitness,192490.0,711980.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1997
163,אור עקיבא,094G1107947,Fitness,192290.0,712650.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1960
164,אור עקיבא,094F3101239,Football field,192510.0,712030.0,Yes,Yes,Yes,Yes,Normal and active,National,1970
165,אור עקיבא,094T1101234,Tennis court,192640.0,713840.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2017
166,אור עקיבא,094T1108070,Tennis court,192470.0,713170.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1991
167,אור עקיבא,094T1108071,Tennis court,192470.0,713170.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1991
168,אור עקיבא,094B2108072,Synthetic grass court,192450.0,713050.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1974
169,אור עקיבא,094B2101240,Basketball court,192460.0,713150.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1997
170,אור עקיבא,094G4401826,Fitness,192503.0,713746.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2017
171,אורנית,178P1106046,Swimming pool,199650.0,669850.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1993
172,אורנית,178F1104139,Football field,199650.0,669900.0,Yes,Yes,Yes,Yes,Normal and active,National,1999
173,אורנית,178B1104626,Basketball court,199650.0,669950.0,Yes,Yes,No,Yes,Normal and active,National,1999
174,אורנית,178G1101115,Fitness,199750.0,670950.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,1987
175,אורנית,178E1105625,Petanque field,199750.0,670850.0,No,Yes,No,Yes,Normal and active,Not used for official competitions,2009
176,אורנית,178B1104677,Basketball court,199750.0,670750.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,1991
177,אורנית,178G3303400,Fitness,111111.0,222222.0,Yes,Yes,Yes,Yes,Normal and active,Local and regional,2013
178,אורנית,178M1303405,Mini pitch,222222.0,111111.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2016
179,אזור,073B1101775,Basketball court,182310.0,658780.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,1987
180,אזור,073B1102599,Basketball court,181330.0,659940.0,Yes,Yes,Yes,No,Normal and active,Not used for official competitions,2000
181,אזור,073G4106940,Fitness,182370.0,658980.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,1976
182,אזור,073F1102829,Football field,182440.0,658980.0,Yes,Yes,Yes,Yes,Normal and active,National,1980
183,אזור,073B1106943,Basketball court,182380.0,658930.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,1977
184,אזור,073B1101764,Basketball court,182030.0,659300.0,Yes,No,Yes,Yes,Normal and active,National,2005
185,אזור,073A2102570,Fitness,182540.0,658640.0,No,Yes,Yes,No,Normal and active,Not used for official competitions,2009
186,אזור,073G2101753,Fitness,182010.0,658610.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,1974
187,אזור,073B2101754,Combined sports pitch,181980.0,658640.0,Yes,No,Yes,Yes,Normal and active,Not used for official competitions,2004
188,אזור,073B2103068,Combined sports pitch,181140.0,659800.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2004
189,אזור,073A2102606,Fitness,181170.0,659850.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2009
190,אזור,073M1107565,Mini pitch,182640.0,658970.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2007
191,אזור,073E1107566,Petanque field,182610.0,658970.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2009
192,אזור,073A2107567,Fitness,182660.0,658980.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2007
193,אזור,073G3300954,Fitness,181092.0,659749.0,Yes,Yes,Yes,Yes,Normal and active,National,2016
194,אזור,073M1104915,Mini pitch,181189.0,659492.0,Yes,Yes,Yes,Yes,Normal and active,Irrelevant,2016
195,אזור,073B1104442,Basketball court,181189.0,659492.0,No,Yes,Yes,Yes,Normal and active,Irrelevant,2017
196,אזור,073A2107152,Fitness,181189.0,659492.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2017
197,אזור,073A2107155,Fitness,181448.0,659495.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2012
198,אזור,073A1107153,Fitness,182711.0,657951.0,No,Yes,Yes,Yes,Normal and active,Not used for official competitions,2013
199,אזור,073A2103362,Fitness,182612.0,658370.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2015
200,אילת,2600F1308972,Football field,196639.0,386326.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2020
201,אילת,2600F1308973,Football field,196557.0,386389.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2020
202,אילת,2600F1308974,Football field,196478.0,386418.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2020
203,אילת,2600B3108977,Other,196666.0,386207.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,2020
204,אילת,2600G3308982,Fitness,192948.0,384427.0,Yes,Yes,Yes,Yes,Normal and active,Local and regional,2019
205,אילת,2600G3309000,Fitness,192568.0,384089.0,Yes,Yes,Yes,Yes,Normal and active,Local and regional,2019
206,אילת,2600C1109058,Sea centre cruise,195854.0,381989.0,Yes,No,Yes,Yes,Normal and active,National,1985
207,אילת,147P1106362,Swimming pool,195369.0,384773.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
208,אילת,147P1106411,Swimming pool,195527.0,384725.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
209,אילת,147P1106407,Swimming pool,195596.0,384715.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
210,אילת,147A1106408,Fitness,195608.0,384754.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
211,אילת,147A1106421,Fitness,195493.0,384820.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
212,אילת,147G3302779,Fitness,193538.0,385044.0,Yes,Yes,Yes,Yes,Normal and active,National,2002
213,אילת,147R1107671,Other,193269.0,384253.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
214,אילת,147R1107669,Other,193282.0,384252.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
215,אילת,147R1107670,Other,193286.0,384229.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
216,אילת,147R1105120,Other,194778.0,385103.0,Yes,Yes,No,Yes,Normal and active,Not used for official competitions,0
217,אילת,147R1107373,Other,193181.0,384167.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
218,אילת,147R1106887,Other,195700.0,385396.0,Yes,No,Yes,Yes,Normal and active,National,2007
219,אילת,147R1107342,Other,193155.0,384174.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
220,אילת,147B2101671,Combined sports pitch,193790.0,384833.0,Yes,Yes,Yes,Yes,Normal and active,National,2002
221,אילת,147A2107641,Fitness,193411.0,384469.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,2008
222,אילת,147G3402800,Fitness,194768.0,386349.0,Yes,Yes,Yes,Yes,Normal and active,National,1989
223,אילת,147B2307822,Combined sports pitch,194839.0,386345.0,Yes,Yes,Yes,Yes,Normal and active,National,2016
224,אילת,147P1106427,Swimming pool,192284.0,380722.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
225,אילת,147G1201536,Fitness,193987.0,386382.0,Yes,Yes,Yes,Yes,Active and in need of renovation,Not used for official competitions,1977
226,אילת,147R1105129,Other,194162.0,385976.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
227,אילת,147P1106355,Swimming pool,196103.0,384839.0,Yes,Yes,Yes,Yes,Normal and active,Not used for official competitions,0
